iter	Passed	Remaining
0	145	145132
1	146	73269
2	148	49271
3	149	37317
4	151	30206
5	155	25706
6	159	22580
7	160	19948
8	162	17918
9	164	16255
10	166	14925
11	169	13976
12	172	13121
13	174	12265
14	175	11527
15	177	10890
16	178	10335
17	183	9994
18	184	9535
19	186	9122
20	187	8757
21	189	8417
22	190	8104
23	192	7820
24	193	7557
25	195	7311
26	196	7082
27	197	6873
28	199	6681
29	200	6498
30	202	6327
31	204	6176
32	205	6024
33	206	5877
34	208	5740
35	209	5612
36	211	5494
37	212	5379
38	213	5269
39	215	5167
40	217	5088
41	219	5006
42	221	4919
43	222	4833
44	223	4750
45	225	4673
46	226	4598
47	228	4525
48	229	4457
49	232	4411
50	234	4360
51	236	4304
52	237	4248
53	239	4197
54	241	4155
55	244	4129
56	247	4090
57	249	4050
58	251	4003
59	252	3956
60	254	3915
61	256	3875
62	257	3836
63	259	3801
64	261	3764
65	264	3744
66	266	3714
67	267	3667
68	268	3629
69	270	3592
70	271	3556
71	273	3520
72	274	3487
73	276	3454
74	277	3423
75	279	3392
76	280	3361
77	281	3333
78	283	3305
79	285	3277
80	286	3250
81	288	3229
82	289	3202
83	291	3177
84	292	3148
85	294	3126
86	295	3097
87	296	3074
88	298	3052
89	299	3031
90	301	3008
91	302	2987
92	304	2965
93	305	2945
94	307	2924
95	308	2904
96	309	2885
97	311	2866
98	313	2848
99	314	2832
100	316	2819
101	317	2795
102	318	2777
103	320	2761
104	322	2744
105	323	2730
106	325	2716
107	327	2701
108	328	2685
109	329	2669
110	331	2654
111	333	2643
112	334	2628
113	337	2626
114	340	2616
115	341	2600
116	342	2587
117	344	2573
118	345	2557
119	346	2543
120	348	2530
121	349	2516
122	350	2498
123	351	2485
124	353	2472
125	354	2461
126	356	2450
127	357	2436
128	358	2423
129	360	2412
130	362	2401
131	363	2390
132	365	2380
133	366	2369
134	368	2358
135	369	2347
136	371	2337
137	372	2324
138	373	2314
139	375	2304
140	376	2295
141	378	2285
142	379	2276
143	381	2267
144	382	2258
145	384	2249
146	386	2239
147	387	2230
148	388	2221
149	390	2212
150	392	2204
151	393	2196
152	395	2187
153	396	2178
154	398	2171
155	400	2164
156	401	2156
157	403	2148
158	410	2169
159	414	2173
160	416	2169
161	418	2163
162	419	2155
163	421	2149
164	423	2142
165	424	2135
166	426	2127
167	428	2123
168	430	2116
169	432	2110
170	433	2103
171	435	2097
172	437	2091
173	439	2085
174	440	2078
175	443	2075
176	444	2068
177	446	2062
178	448	2055
179	449	2049
180	450	2039
181	452	2034
182	454	2028
183	456	2024
184	458	2020
185	460	2014
186	461	2007
187	463	2002
188	465	1995
189	466	1989
190	468	1982
191	469	1976
192	471	1971
193	473	1968
194	475	1964
195	477	1958
196	479	1952
197	480	1946
198	482	1941
199	483	1935
200	485	1929
201	486	1923
202	488	1917
203	490	1912
204	491	1907
205	493	1901
206	494	1895
207	496	1891
208	498	1885
209	499	1880
210	501	1875
211	503	1869
212	504	1864
213	505	1858
214	507	1853
215	508	1847
216	510	1841
217	512	1836
218	513	1831
219	515	1825
220	516	1820
221	518	1816
222	519	1811
223	521	1806
224	523	1802
225	524	1797
226	526	1792
227	527	1787
228	529	1782
229	531	1778
230	533	1775
231	535	1772
232	537	1768
233	539	1764
234	540	1759
235	542	1755
236	544	1752
237	546	1749
238	548	1745
239	549	1741
240	551	1738
241	553	1734
242	555	1730
243	557	1726
244	559	1723
245	561	1722
246	563	1718
247	565	1714
248	567	1710
249	568	1706
250	570	1701
251	571	1697
252	574	1694
253	575	1691
254	577	1686
255	578	1681
256	580	1677
257	581	1672
258	583	1668
259	584	1663
260	585	1659
261	587	1654
262	589	1651
263	590	1647
264	592	1643
265	593	1638
266	595	1634
267	596	1630
268	598	1625
269	599	1621
